chr	CDS_prop
Chr1	0.08117123795404
Chr10	0.0292809488510007
Chr11	0.0276501111934766
Chr12	0.0255744996293551
Chr13	0.0240919199406968
Chr14	0.0300222386953299
Chr15	0.0260934025203855
Chr17	0.0208302446256486
Chr18	0.0241660489251297
Chr19	0.0244625648628614
Chr1A	0.0650852483320978
Chr2	0.0962935507783543
Chr20	0.0254262416604893
Chr21	0.0173461823573017
Chr22	0.0120088954781319
Chr23	0.0178650852483321
Chr24	0.0131208302446256
Chr25	0.0130467012601927
Chr26	0.0189770200148258
Chr27	0.0186805040770941
Chr28	0.0190511489992587
Chr3	0.0806523350630096
Chr4	0.0499629355077835
Chr4A	0.0240177909562639
Chr5	0.0699036323202372
Chr6	0.0393624907338769
Chr7	0.0360266864343958
Chr8	0.0374351371386212
Chr9	0.0323943661971831
